AS, Class, info,
AS16276, Cloud, OVH,
AS12876, Cloud, scaleway.com,
AS9009, Cloud, m247.com,
AS24940, Cloud, herzner.com,
AS51167, Cloud, contabo.com,
AS5466, ISP, eir.ie,
AS6866, ISP, cyta.com.cy,
AS49981, Cloud, worldstream.com,
AS6799, ISP, ote.gr,
AS205016, browser, hernlabs.se, opera
AS51430, Cloud, AltusHost,
AS14061, Cloud, digitalocean.com ,
AS24961, Cloud, myloc.de,
AS3269, ISP,  telecomitalia.com ,
AS21100, Cloud, itl.ua, ukraine
AS5391, ISP, ht.hr,
AS43624, Cloud, pq.hosting, moldova
AS8708, ISP, digi-communications.ro,
AS14061,business,anchoragecap.com,
AS3352,,,
AS202053,,,
AS8866,,,
AS24940,,,
AS12709,,,
AS60068,,,
AS3243,,,
AS9009,,,
AS3215,,,
AS33915,,,
AS61003,,,
AS8764,,,
AS3329,,,
AS2860,,,
AS3320,,,
AS12353,,,
AS51430,,,
AS30722,,,
AS12876,,,
AS16247,,,
AS202422,,,
AS47172,,,
AS60068,,,
AS3209,,,
AS25472,,,
AS16276,,,
AS21334,,,
AS5483,,,
AS13280,,,
AS13335,,,
AS63949,,,
AS40676,,,
AS213371,,,
AS1267,,,
AS5617,,,
AS12874,,,
AS202422,,,
AS20845,,,
AS1136,,,
AS13335,,,
AS12479,,,
AS208286,,,
AS8717,,,
AS5603,,,
AS1241,,,
AS16019,,,
AS15525,,,
AS49367,,,
AS9050,,,
AS6855,,,
AS59729,,,
AS5610,,,
AS16509,,,
AS12430,,,
AS43350,,,
AS6830,,,
AS15557,,,
AS9009,,,
AS3301,,,
AS15502,,,
AS202422,,,
AS12302,,,
AS51582,,,
AS12301,,,
AS31404,,,
AS6848,,,
AS205016,,,
AS21412,,,
AS2119,,,
AS5432,,,
AS29119,,,
AS203953,,,
AS12810,,,
AS202422,,,
AS12322,,,
AS9009,,,
AS9009,,,
AS5410,,,
AS3292,,,
AS199524,,,
AS12361,,,
AS6830,,,
AS8473,,,
AS34779,,,
AS15704,,,
AS204196,,,
AS13036,,,
AS2108,,,
AS199155,,,
AS202422,,,
AS200845,,,
AS12741,,,
AS20773,,,
AS12716,,,
AS61345,,,
AS9009,,,
AS29247,,,
AS9009,,,
AS51430,,,
AS198203,,,
AS58065,,,
AS16276,,,
AS9009,,,
AS29066,,,
AS1257,,,
AS200736,,,
AS8881,,,
AS34362,,,
AS200565,,,
AS44377,,,
AS51265,,,
AS35432,,,
AS6805,,,
AS9009,,,
AS13213,,,
AS48146,,,
AS28753,,,
AS30900,,,
AS35549,,,
AS6739,,,
AS12829,,,
AS8953,,,
AS202422,,,
AS3212,,,
AS13335,,,
AS57344,,,
AS9070,,,
AS13194,,,
AS12796,,,
AS60404,,,
AS207044,,,
AS9119,,,
AS211555,,,
AS31027,,,
AS29580,,,
AS6718,,,
AS208258,,,
AS60068,,,
AS51207,,,
AS5578,,,
AS35141,,,
AS29208,,,
AS44558,,,
AS41564,,,
AS34594,,,
AS31012,,,
AS41564,,,
AS12552,,,
AS62179,,,
AS52173,,,
AS50673,,,
AS12912,,,
AS9009,,,
AS207144,,,
AS139989,,,
AS47402,,,
AS35612,,,
AS13124,,,
AS1299,,,
AS60656,,,
AS43561,,,
AS13306,,,
AS15735,,,
AS42947,,,
AS25512,,,
AS50266,,,
AS213183,,,
AS31242,,,
AS29066,,,
AS29447,,,
AS39603,,,
AS42652,,,
AS15962,,,
AS27694,,,
AS43205,,,
AS21283,,,
AS16232,,,
AS8412,,,
AS60781,,,
AS8447,,,
AS39651,,,
AS5504,,,
AS16086,,,
AS12578,,,
AS35191,,,
AS8560,,,
AS202425,,,
AS1955,,,
AS213155,,,
AS209181,,,
AS28952,,,
AS2110,,,
AS43557,,,
AS205714,,,
AS8612,,,
AS34977,,,
AS25222,,,
AS20910,,,
AS16509,,,
AS209424,,,
AS61272,,,
AS5479,,,
AS57389,,,
AS8374,,,
AS29314,,,
AS1257,,,
AS1213,,,
AS1930,,,
AS8767,,,
AS202254,,,
AS13046,,,
AS29030,,,
AS43242,,,
AS208149,,,
AS45011,,,
AS2614,,,
AS12338,,,
AS44869,,,
AS3249,,,
AS35725,,,
AS44489,,,
AS13110,,,
AS48953,,,
AS42555,,,
AS6830,,,
AS16509,,,
AS62044,,,
AS60068,,,
AS31287,,,
AS31122,,,
AS29518,,,
AS21430,,,
AS719,,,
AS29244,,,
AS42708,,,
AS21021,,,
AS28725,,,
AS197792,,,
AS1103,,,
AS29687,,,
AS31117,,,
AS2852,,,
AS31898,,,
AS29084,,,
AS15440,,,
AS35699,,,
AS25255,,,
AS42863,,,
AS31313,,,
AS766,,,
AS35506,,,
AS2586,,,
